,file name,dpct snippet,manual snippets
0,../oneAPI-DirectProgramming-training/affine/dpcpp/main.dp.cpp,"     q_ct1.submit([&](sycl::handler &cgh) {
       cgh.parallel_for(sycl::nd_range<3>(grids * threads, threads),
                        [=](sycl::nd_item<3> item_ct1) {
                          affine(d_input_image, d_output_image, item_ct1);
                        });
     });
","     q_ct1.submit([&](sycl::handler &cgh) {
       auto dpct_global_range = grids * threads;
 
       cgh.parallel_for(
           sycl::nd_range<3>(
               sycl::range<3>(dpct_global_range.get(2), dpct_global_range.get(1),
                              dpct_global_range.get(0)),
               sycl::range<3>(threads.get(2), threads.get(1), threads.get(0))),
           [=](sycl::nd_item<3> item_ct1) {
             affine(d_input_image, d_output_image, item_ct1);
           });
     });
"
1,../oneAPI-DirectProgramming-training/all-pairs-distance/dpcpp/main.dp.cpp,"     sycl::atomic<int>(sycl::global_ptr<int>(distance + INSTANCES * gx + gy))
","     sycl::atomic<int>(sycl::global_ptr<int>(distance + INSTANCES * gx + gy))
"
2,../oneAPI-DirectProgramming-training/all-pairs-distance/dpcpp/main.dp.cpp,"   item_ct1.barrier();
","   item_ct1.barrier();
"
3,../oneAPI-DirectProgramming-training/all-pairs-distance/dpcpp/main.dp.cpp,"   item_ct1.barrier();
","   item_ct1.barrier();
"
4,../oneAPI-DirectProgramming-training/all-pairs-distance/dpcpp/main.dp.cpp,"     q_ct1.submit([&](sycl::handler &cgh) {
       cgh.parallel_for(sycl::nd_range<3>(dimGrid * dimBlock, dimBlock),
                        [=](sycl::nd_item<3> item_ct1) {
                          GPUregister(data_char_device, distance_device,
                                      item_ct1);
                        });
     });
","     q_ct1.submit([&](sycl::handler &cgh) {
       auto dpct_global_range = dimGrid * dimBlock;
 
       cgh.parallel_for(
           sycl::nd_range<3>(sycl::range<3>(dpct_global_range.get(2),
                                            dpct_global_range.get(1),
                                            dpct_global_range.get(0)),
                             sycl::range<3>(dimBlock.get(2), dimBlock.get(1),
                                            dimBlock.get(0))),
           [=](sycl::nd_item<3> item_ct1) {
             GPUregister(data_char_device, distance_device, item_ct1);
           });
     });
"
5,../oneAPI-DirectProgramming-training/all-pairs-distance/dpcpp/main.dp.cpp,"     q_ct1.submit([&](sycl::handler &cgh) {
       sycl::accessor<int, 1, sycl::access::mode::read_write,
                      sycl::access::target::local>
 
       cgh.parallel_for(sycl::nd_range<3>(dimGrid * dimBlock, dimBlock),
                        [=](sycl::nd_item<3> item_ct1) {
                          GPUshared(data_char_device, distance_device, item_ct1,
                                    dist_acc_ct1.get_pointer());
                        });
     });
","     q_ct1.submit([&](sycl::handler &cgh) {
       sycl::accessor<int, 1, sycl::access::mode::read_write,
                      sycl::access::target::local>
 
       auto dpct_global_range = dimGrid * dimBlock;
 
       cgh.parallel_for(
           sycl::nd_range<3>(sycl::range<3>(dpct_global_range.get(2),
                                            dpct_global_range.get(1),
                                            dpct_global_range.get(0)),
                             sycl::range<3>(dimBlock.get(2), dimBlock.get(1),
                                            dimBlock.get(0))),
           [=](sycl::nd_item<3> item_ct1) {
             GPUshared(data_char_device, distance_device, item_ct1,
                       dist_acc_ct1.get_pointer());
           });
     });
"
6,../oneAPI-DirectProgramming-training/amgmk/dpcpp/main.dp.cpp,"       q_ct1.submit([&](sycl::handler &cgh) {
          cgh.parallel_for(
              sycl::nd_range<3>(sycl::range<3>(grid1D) * sycl::range<3>(block1D),
                                sycl::range<3>(block1D)),
              [=](sycl::nd_item<3> item_ct1) {
                 relax(d_A_diag_data, d_A_diag_i, d_A_diag_j, d_u_data, d_f_data,
                       n, item_ct1);
              });
       });
","       q_ct1.submit([&](sycl::handler &cgh) {
          auto dpct_global_range =
              sycl::range<3>(grid1D) * sycl::range<3>(block1D);
          auto dpct_local_range = sycl::range<3>(block1D);
 
          cgh.parallel_for(
              sycl::nd_range<3>(sycl::range<3>(dpct_global_range.get(2),
                                               dpct_global_range.get(1),
                                               dpct_global_range.get(0)),
                                sycl::range<3>(dpct_local_range.get(2),
                                               dpct_local_range.get(1),
                                               dpct_local_range.get(0))),
              [=](sycl::nd_item<3> item_ct1) {
                 relax(d_A_diag_data, d_A_diag_i, d_A_diag_j, d_u_data, d_f_data,
                       n, item_ct1);
              });
       });
"
7,../oneAPI-DirectProgramming-training/aobench/dpcpp/ao.dp.cpp,"   /*
","   /*
"
8,../oneAPI-DirectProgramming-training/aobench/dpcpp/ao.dp.cpp,"   /*
","   /*
"
9,../oneAPI-DirectProgramming-training/aobench/dpcpp/ao.dp.cpp,"   /*
","   /*
"
